model,queries,embedding_dimension,recall_at_5,recall_at_10,precision_at_5,precision_at_10,map_at_5,map_at_10,inference_time_seconds,images_per_second
EfficientNet-B0,1000,1280,0.008271628011629655,0.0151430724829738,0.8006,0.7712,0.7597033333333334,0.7156804761904761,325.0484413000013,136.7211601515833
ResNet-50,1000,2048,0.007770563886419512,0.014204334027725007,0.781,0.7537999999999999,0.7386566666666666,0.6957973015873016,733.8489007999997,60.55878798967061
ResNet-18,1000,512,0.0078039964230122985,0.014171981274131988,0.7714,0.7457999999999999,0.7284466666666667,0.6867717857142857,611.1629709000008,72.71546562213352
